SiteBank,CvsN,isoBaselines,isoToplines,isopreForest,isoForest,isoWall,predpreForest,predForest,predWall,predTopCut,predDistShift,nonpredTopCut
ARZO1LB,N,0.2,1,40,40,NA,40,40,NA,500,0,2000
ARZO1RB,N,0,1,32,32,NA,32,32,NA,300,-2,1000
ARZO2LB,N,0,1,NA,NA,8,NA,NA,8,NA,0,150
BALL1LB,C,0.45,1,64,64,NA,64,64,NA,NA,0,100
BALL1RB,C,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA
BATE1LB,N,0.44,1,25,NA,NA,NA,NA,NA,20,0,600
BATE1RB,N,NA,NA,NA,NA,NA,NA,NA,NA,11,0,800
BECH1RB,C,0.18,1,NA,NA,NA,NA,NA,NA,600,-1,15000
BECH2RB,C,0.52,1,224,224,2,224,224,2,400,-2,3000
BELG1LB,C,0.3,1,NA,NA,NA,NA,NA,NA,NA,0,NA
BELG1RB,C,0.45,1,16,24,NA,16,24,NA,NA,0,600
BOLZ1LB,C,0,1,8,16,NA,NA,NA,NA,NA,0,15000
BOLZ1RB,C,0.12,0.26,132,132,NA,128,128,NA,1000,-4,NA
CORN1LB,N,0.2,1,8,8,NA,8,8,NA,1000,0,6000
CORN1RB,N,0,1,NA,NA,19,NA,NA,24,1000,0,NA
COWE1LB,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
COWE1RB,N,0.76,1,NA,NA,NA,NA,NA,NA,NA,0,40
DANU1RB,N,0,1,16,16,NA,16,16,NA,100,-8,NA
DANU2RB,N,0,1,16,16,16,16,16,16,50,-2,1000
DFOR1RB,N,0.83,1,20,20,13,20,20,13,70,-4,100
DMDW1RB,N,0,1,NA,NA,16,64,64,16,70,-2,600
DRAV1LB,N,0.4,0.9,9,9,NA,9,9,NA,200,0,NA
DSRB1LB,N,0,1,11,11,41,11,11,41,400,0,NA
DSRB2LB,N,0.4,1,128,168,168,168,168,168,300,-4,6000
DSRB3LB,N,0.2,0.42,35,35,NA,16,35,NA,NA,0,NA
DSRB4LB,N,0.6,1,32,32,NA,32,32,NA,800,0,500
ELBE1LB,N,0.7,1,NA,NA,NA,NA,NA,NA,150,-4,NA
ELBE2LB,C,0.6,1,NA,NA,NA,64,64,NA,NA,-2,NA
ELBE3RB,N,0,0.92,NA,NA,NA,NA,NA,NA,100,0,400
FELL1RB,C,0,0.65,157,157,NA,157,157,NA,150,0,400
HEAD2LB,N,0.35,0.87,NA,NA,NA,NA,NA,NA,NA,0,300
HEAD2RB,N,0,1,NA,NA,NA,NA,NA,NA,1000,0,NA
ISLA1LB,C,0,1,8,8,NA,8,8,NA,500,-1,1000
ISLA1RB,C,0,1,8,8,NA,8,8,NA,500,0,NA
LTEN1RB,C,0.5,1,NA,NA,NA,NA,NA,NA,NA,0,NA
RESI1LB,C,0.3,1,12,12,NA,12,12,NA,40,-1,NA
RESI1RB,C,0,1,NA,NA,NA,NA,NA,NA,150,0,NA
RESI2LB,C,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA
RESI2RB,C,0.8,0.93,8,8,NA,12,12,NA,NA,0,NA
RESI3LB,C,0.7,1,NA,NA,NA,NA,NA,NA,1200,0,15000
RESI3RB,C,0,1,16,NA,NA,NA,NA,NA,800,0,6000
RESI4LB,C,0.02,0.08,10,NA,NA,NA,NA,NA,NA,0,NA
RESI4RB,C,0,1,NA,NA,NA,NA,NA,NA,200,0,NA
RESI5LB,C,0,1,NA,NA,8,NA,NA,8,500,-1,15000
RESI5RB,C,0,1,16,22,NA,16,22,NA,NA,0,1000
SAVA1LB,N,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA
